Name,Corp
Reika Hyōka Frost,Nexus Enraenra (CEO)
Hana Mizuki,Nexus Enraenra (COO)
Liam Chen,Nexus Enraenra (CFO)
Sofia Alvarez,Nexus Enraenra (CHRO)
Ryo Tanaka,Nexus Enraenra (General Counsel)
Priya Sharma,Nexus Enraenra (CTO)
Elias Moreau,Nexus Enraenra (CMO)
Akira Miyara,Nexus Enraenra / Shadow Core (Public Relations)
Reika Hyōka Frost,Shadow Core (Sovereign Shadeweaver)
Kage Ishigawa,Shadow Core (Adjudicator)
Akira Miyara,Shadow Core (Head of Public Relations)
Ayana Miyara,Shadow Core (Strategic Operations)
Kazuo Hoshinaga,Shadow Core (Cybersecurity & Intelligence)
Kenji Hoshinaga,Shadow Core (Defense R&D)
Aaster Hoshitsuzuri,Shadow Core (Aethos Tactical Commander)
Kyra Constantine,CMM (Sovereign)
---,---
Kyra Eve Constantine,CMM (Firefly – Founder & CEO / General of the Iron Sultura)
Voss Harland,CMM (Shatter – Director of Media & Espionage Propaganda / Iron Sultura)
Marcus Bishop Steele,CMM (Blade – Commander of Erebus Vanguard / Paramilitary Head)
Selene Voss,CMM (Valkyre – Director of Biomedical Research & Subterfuge R&D)
Darius Kael,CMM (Terminus – Chief Financial Enforcer / Economic Warfare Division)
Rhea Caldwell,CMM (Syxx – Director of Human Capital Conditioning / Psychological Ops)
Mara D’Angelo,CMM (Crescent – Chief Information Strategist / AI Data Forge)
Kaori Fujimura,CMM (Trident – General Counsel / Legal Subversion Architect)
Aegis Hermione Blossom,CMM (Black Venom Tactical Enforcer / Robotics Integration)
Krayne Towers,CMM (Chief of Field Operations / Global Intervention Wing)
Viper Holdings Consortium (Unknown Chair),CMM (Shadow Forge Funding Arm – AI & Mercenary Integration)
Obsidian Veil Department Head,CMM (Corporate Espionage Division Head)
Steel Aegis Division Commander 1,CMM (Military Contracting Commander)
Steel Aegis Division Commander 2,CMM (Military Contracting Commander)
Steel Aegis Division Commander 3,CMM (Military Contracting Commander)
Iron Pulse Division Director 1,CMM (Propaganda & Media Manipulation Lead)
Iron Pulse Division Director 2,CMM (Propaganda & Media Manipulation Lead)
Iron Pulse Division Director 3,CMM (Propaganda & Media Manipulation Lead)
Shadow Forge Analyst 1,CMM (Data Warfare & Neural Systems Operator)
Shadow Forge Analyst 2,CMM (Data Warfare & Neural Systems Operator)
Shadow Forge Analyst 3,CMM (Data Warfare & Neural Systems Operator)
Erebus Vanguard Captain 1,CMM (Paramilitary Strike Unit Leader)
Erebus Vanguard Captain 2,CMM (Paramilitary Strike Unit Leader)
Erebus Vanguard Captain 3,CMM (Paramilitary Strike Unit Leader)
Corporate Liaison 1,CMM (Client Relations & Acquisition Division)
Corporate Liaison 2,CMM (Client Relations & Acquisition Division)
Cyber Ops Specialist 1,CMM (Obsidian Veil / Cyber Infiltration)
Cyber Ops Specialist 2,CMM (Obsidian Veil / Cyber Infiltration)
Black Vault Analyst 1,CMM (Shadow Forge / Classified AI Research)
Black Vault Analyst 2,CMM (Shadow Forge / Classified AI Research)
